game_pk,inning_topbot,game_date,player_name,pitcher,home_team,away_team,p_throws,fielding_team,launch_speed,estimated_woba_using_speedangle,estimated_ba_using_speedangle,home_score,away_score,delta_run_exp,strikeout,grounded_into_double_play,single,double,triple,home_run,walk,field_out,fielders_choice_out,hit_by_pitch,sac_fly,field_error,caught_stealing_2b,catcher_interf,fielders_choice,double_play,sac_bunt,caught_stealing_home,caught_stealing_3b,other_out,barrel,hitting_team,hitting_runs,hits,outs,walks,xbh,avg,era,slg,obp,ops,whip,games_played,hr9
747878,Bot,2024-03-20,"Dunning, Dane",641540,CIN,TEX,R,TEX,,,,1,0,0.0,1.0,1,1,0,0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,CIN,1.0,1,3,2,0,0.25,9.0,0.25,0.5,0.75,3.0,1,0.0
747884,Top,2024-03-20,"Kremer, Dean",665152,BAL,PHI,R,BAL,,,,0,0,0.0,1.0,0,1,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,PHI,0.0,1,3,0,0,0.25,0.0,0.25,0.25,0.5,1.0,1,0.0
747884,Bot,2024-03-20,"Ash, Konnor",680089,BAL,PHI,R,PHI,,,,5,0,0.0,1.0,0,2,0,0,2.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,BAL,5.0,4,3,3,2,0.5714285714285714,45.0,1.4285714285714286,0.7,2.1285714285714286,7.0,1,18.0
747883,Top,2024-03-20,"Singer, Brady",663903,KC,LAA,R,KC,,,,0,0,0.0,1.0,0,0,0,0,0.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,,LAA,0.0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
747883,Bot,2024-03-20,"Wantz, Andrew",681806,KC,LAA,R,LAA,,,,0,0,0.0,0.0,0,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,KC,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
747882,Top,2024-03-20,"Blackburn, Paul",621112,OAK,CHC,R,OAK,,,,0,0,0.0,1.0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,CHC,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
747882,Bot,2024-03-20,"Leiter Jr., Mark",643410,OAK,CHC,R,CHC,,,,0,0,0.0,2.0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,OAK,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
747885,Bot,2024-03-20,"Francis, Bowden",670102,ATL,TOR,R,TOR,,,,0,3,0.0,1.0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,ATL,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
747881,Bot,2024-03-20,"Hicks, Jordan",663855,LAA,SF,R,SF,,,,1,0,0.0,0.0,1,1,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,LAA,1.0,1,2,2,0,0.3333333333333333,9.0,0.3333333333333333,0.6,0.9333333333333333,3.0,1,0.0
745444,Bot,2024-03-20,"Glasnow, Tyler",607192,SD,LAD,R,LAD,75.05000000000001,0.027,0.037500000000000006,0,0,-0.543,1.0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,SD,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
745444,Top,2024-03-20,"Darvish, Yu",506433,SD,LAD,R,SD,82.25,0.03266666666666667,0.047,0,0,-1.057,1.0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,LAD,0.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
747880,Bot,2024-03-20,"Lambert, Peter",663567,AZ,COL,R,COL,83.15,,0.09,0,0,0.0,1.0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,AZ,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
747879,Top,2024-03-20,"Soroka, Michael",647336,CWS,CIN,R,CWS,,,,0,0,0.0,2.0,0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,CIN,0.0,1,3,0,1,0.25,0.0,0.5,0.25,0.75,1.0,1,0.0
747879,Bot,2024-03-20,"Richardson, Lyon",680689,CWS,CIN,R,CIN,,,,0,0,0.0,0.0,0,0,1,0,0.0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,,CWS,0.0,1,4,0,1,0.2,0.0,0.4,0.2,0.6000000000000001,1.0,1,0.0
747878,Top,2024-03-20,"Lowder, Rhett",695076,CIN,TEX,R,CIN,,,,0,0,0.0,2.0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,TEX,0.0,0,2,2,0,0.0,0.0,0.0,0.5,0.5,2.0,1,0.0
747880,Top,2024-03-20,"Henry, Tommy",674072,AZ,COL,L,AZ,87.95,,0.073,0,0,0.0,1.0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,COL,0.0,0,3,1,0,0.0,0.0,0.0,0.25,0.25,1.0,1,0.0
